date      , away_team     , home_team     , away_score, home_score, winner, final_score, total_goals
2024-03-12, Blue Jackets  , Canadiens     ,          0,          3, home  , 0-3        ,           3
2024-03-12, Penguins      , Senators      ,          1,          2, home  , 1-2        ,           3
2024-03-12, Sharks        , Flyers        ,          2,          3, home  , 2-3        ,           5
2024-03-13, Panthers      , Stars         ,          4,          3, away  , 4-3        ,           7
2024-03-13, Coyotes       , Wild          ,          1,          4, home  , 1-4        ,           5
2024-03-13, Ducks         , Blackhawks    ,          2,          7, home  , 2-7        ,           9
2024-03-13, Avalanche     , Flames        ,          6,          2, away  , 6-2        ,           8
2024-03-13, Golden Knights, Kraken        ,          5,          4, away  , 5-4        ,           9
2024-03-08, Maple Leafs   , Bruins        ,          1,          4, home  , 1-4        ,           5
2024-03-08, Canadiens     , Hurricanes    ,          1,          4, home  , 1-4        ,           5
2024-03-08, Oilers        , Blue Jackets  ,          2,          4, home  , 2-4        ,           6
2024-03-08, Flyers        , Panthers      ,          2,          1, away  , 2-1        ,           3
2024-03-08, Blues         , Devils        ,          1,          4, home  , 1-4        ,           5
2024-03-08, Capitals      , Penguins      ,          6,          0, away  , 6-0        ,           6
2024-03-08, Flames        , Lightning     ,          6,          3, away  , 6-3        ,           9
2024-03-08, Sabres        , Predators     ,          2,          4, home  , 2-4        ,           6
2024-03-08, Wild          , Coyotes       ,          5,          2, away  , 5-2        ,           7
2024-03-08, Canucks       , Golden Knights,          3,          1, away  , 3-1        ,           4
2024-03-08, Senators      , Kings         ,          3,          4, home  , 3-4        ,           7
2024-03-08, Islanders     , Sharks        ,          7,          2, away  , 7-2        ,           9
2024-03-09, Red Wings     , Coyotes       ,          0,          4, home  , 0-4        ,           4
2024-03-09, Wild          , Avalanche     ,          1,          2, home  , 1-2        ,           3
2024-03-09, Stars         , Ducks         ,          6,          2, away  , 6-2        ,           8
2024-03-09, Jets          , Kraken        ,          3,          0, away  , 3-0        ,           3
2024-03-09, Oilers        , Sabres        ,          2,          3, home  , 2-3        ,           5
2024-03-09, Predators     , Blue Jackets  ,          2,          1, away  , 2-1        ,           3
2024-03-09, Hurricanes    , Devils        ,          4,          2, away  , 4-2        ,           6
2024-03-09, Penguins      , Bruins        ,          1,          5, home  , 1-5        ,           6
2024-03-09, Flames        , Panthers      ,          1,          5, home  , 1-5        ,           6
2024-03-10, Maple Leafs   , Canadiens     ,          3,          2, away  , 3-2        ,           5
2024-03-10, Senators      , Sharks        ,          1,          2, home  , 1-2        ,           3
2024-03-10, Flyers        , Lightning     ,          0,          7, home  , 0-7        ,           7
2024-03-10, Blackhawks    , Capitals      ,          1,          4, home  , 1-4        ,           5
2024-03-10, Blues         , Rangers       ,          0,          4, home  , 0-4        ,           4
2024-03-10, Jets          , Canucks       ,          0,          5, home  , 0-5        ,           5
2024-03-10, Red Wings     , Golden Knights,          3,          5, home  , 3-5        ,           8
2024-03-10, Stars         , Kings         ,          4,          1, away  , 4-1        ,           5
2024-03-10, Oilers        , Penguins      ,          4,          0, away  , 4-0        ,           4
2024-03-10, Predators     , Wild          ,          3,          4, home  , 3-4        ,           7
2024-03-10, Flames        , Hurricanes    ,          2,          7, home  , 2-7        ,           9
2024-03-10, Coyotes       , Blackhawks    ,          4,          7, home  , 4-7        ,          11
2024-03-11, Islanders     , Ducks         ,          6,          1, away  , 6-1        ,           7
2024-03-11, Blues         , Bruins        ,          5,          1, away  , 5-1        ,           6
2024-03-11, Devils        , Rangers       ,          1,          3, home  , 1-3        ,           4
2024-03-11, Capitals      , Jets          ,          0,          3, home  , 0-3        ,           3
2024-03-12, Islanders     , Kings         ,          0,          3, home  , 0-3        ,           3
2024-03-12, Red Wings     , Sabres        ,          3,          7, home  , 3-7        ,          10
